sku,handle,pista_original,pista_idioma,marca_detectada,modelo_detectado,generacion_detectada,anios_detectados,pista_normalizada,estado_pista,motivo_estado,requiere_traduccion,verificado_por,fecha_verificacion
OYL260416150,oyl260416150-20-mercedes-benz,BENZ S级老 迈巴赫威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416151,oyl260416151-19-mercedes-benz,BENZ S级老 迈巴赫 威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416152,oyl260416152-19-mercedes-benz,BENZ S级老 迈巴赫 威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416153,oyl260416153-20-mercedes-benz,BENZ S级老 迈巴赫 威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416154,oyl260416154-20-mercedes-benz,BENZ S级老 迈巴赫 威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416155,oyl260416155-20-bmw,BMW X5X6,lat,BMW,X5X6,,,BMW X5X6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416156,oyl260416156-20-bmw,BMW X5X6,lat,BMW,X5X6,,,BMW X5X6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416157,oyl260416157-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416158,oyl260416158-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416159,oyl260416159-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416160,oyl260416160-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416161,oyl260416161-20-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416162,oyl260416162-20-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416163,oyl260416163-20-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416164,oyl260416164-20-bmw,BMW 7系,mixto,BMW,7,,,BMW 7,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416165,oyl260416165-20-bmw,BMW 7系,mixto,BMW,7,,,BMW 7,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416166,oyl260416166-20-bmw,BMW 7系,mixto,BMW,7,,,BMW 7,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416167,oyl260416167-21-bmw,BMW 7系,mixto,BMW,7,,,BMW 7,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416168,oyl260416168-21-bmw,BMW 7系,mixto,BMW,7,,,BMW 7,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416169,oyl260416169-21-bmw,BMW 7系,mixto,BMW,7,,,BMW 7,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416170,oyl260416170-21-bmw,BMW 7系,mixto,BMW,7,,,BMW 7,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416171,oyl260416171-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416172,oyl260416172-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416173,oyl260416173-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416174,oyl260416174-18-volkswagen,VW全系,mixto,Volkswagen,,,,Volkswagen,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416175,oyl260416175-18-volkswagen,VW全系,mixto,Volkswagen,,,,Volkswagen,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416176,oyl260416176-19-volkswagen,(VWMagotan-2024/2025/改）,mixto,Volkswagen,( Magotan//）,,2024 2025,Volkswagen ( Magotan//） 2024 2025,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416177,oyl260416177-19-volkswagen,(VWMagotan-2024/2025/改）,mixto,Volkswagen,( Magotan//）,,2024 2025,Volkswagen ( Magotan//） 2024 2025,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416178,oyl260416178-17-volkswagen,VW全系,mixto,Volkswagen,,,,Volkswagen,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416179,oyl260416179-18-volkswagen,VW全系,mixto,Volkswagen,,,,Volkswagen,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416180,oyl260416180-19-mercedes-benz,BENZ C43 AMG,lat,Mercedes-Benz,C43 AMG,,,Mercedes-Benz C43 AMG,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416181,oyl260416181-19-mercedes-benz,BENZ C43 AMG,lat,Mercedes-Benz,C43 AMG,,,Mercedes-Benz C43 AMG,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416182,oyl260416182-20-mercedes-benz,BENZ C43 AMG,lat,Mercedes-Benz,C43 AMG,,,Mercedes-Benz C43 AMG,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416183,oyl260416183-20-mercedes-benz,BENZ C43 AMG,lat,Mercedes-Benz,C43 AMG,,,Mercedes-Benz C43 AMG,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416184,oyl260416184-19-bmw,BMW M5-2021/改装,mixto,BMW,M5,,2021,BMW M5 2021,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416185,oyl260416185-19-bmw,BMW M5-2021/改装,mixto,BMW,M5,,2021,BMW M5 2021,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416186,oyl260416186-20-bmw,BMW 改装,mixto,BMW,,,,BMW,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416187,oyl260416187-20-bmw,BMW 改装,mixto,BMW,,,,BMW,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416188,oyl260416188-17-audi,AUDIA4/A6,lat,Audi,A4/A6,,,Audi A4/A6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416189,oyl260416189-18-audi,AUDIA4/A6/改装车型,mixto,Audi,A4/A6,,,Audi A4/A6,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416190,oyl260416190-19-audi,AUDIA8,lat,Audi,A8,,,Audi A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416191,oyl260416191-21-audi,AUDIRS6,lat,Audi,RS6,,,Audi RS6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416192,oyl260416192-20-audi,AUDIQ7,lat,Audi,Q7,,,Audi Q7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416193,oyl260416193-22-audi,AUDIQ7,lat,Audi,Q7,,,Audi Q7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416194,oyl260416194-19-mercedes-benz,BENZ 迈巴赫改装,mixto,Mercedes-Benz,,,,Mercedes-Benz,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416195,oyl260416195-20-mercedes-benz,BENZ 迈巴赫改装,mixto,Mercedes-Benz,,,,Mercedes-Benz,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416196,oyl260416196-21-mercedes-benz,BENZ 迈巴赫改装,mixto,Mercedes-Benz,,,,Mercedes-Benz,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416197,oyl260416197-21-mercedes-benz,BENZ 迈巴赫改装,mixto,Mercedes-Benz,,,,Mercedes-Benz,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416198,oyl260416198-18-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416199,oyl260416199-19-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416200,oyl260416200-19-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416201,oyl260416201-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416202,oyl260416202-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416203,oyl260416203-20-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416204,oyl260416204-20-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416205,oyl260416205-20-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416206,oyl260416206-20-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416207,oyl260416207-20-bmw,BMW M4/改,mixto,BMW,M4,,,BMW M4,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416208,oyl260416208-20-bmw,BMW M4/改,mixto,BMW,M4,,,BMW M4,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416209,oyl260416209-19-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416210,oyl260416210-19-vehiculos-europeos,改装,zh,,,,,,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416211,oyl260416211-21-bmw,BMW X7,lat,BMW,X7,,,BMW X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416212,oyl260416212-22-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416213,oyl260416213-22-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416214,oyl260416214-22-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416215,oyl260416215-18-mercedes-benz,BENZ S级老 迈巴赫,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416216,oyl260416216-18-mercedes-benz,BENZ S级老 迈巴赫(球）,mixto,Mercedes-Benz,S (）,,,Mercedes-Benz S (）,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416217,oyl260416217-19-mercedes-benz,BENZ S级老 迈巴赫,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416218,oyl260416218-19-mercedes-benz,BENZ S级老 迈巴赫,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416219,oyl260416219-20-mercedes-benz,BENZ S级老 迈巴赫,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416220,oyl260416220-20-mercedes-benz,BENZ S级老 迈巴赫,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416221,oyl260416221-21-mercedes-benz,BENZ S级老 迈巴赫,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416222,oyl260416222-20-mercedes-benz,BENZ S级老 迈巴赫,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416223,oyl260416223-20-mercedes-benz,BENZ S级老 迈巴赫,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416224,oyl260416224-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416225,oyl260416225-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416226,oyl260416226-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416227,oyl260416227-19-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416228,oyl260416228-20-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416229,oyl260416229-20-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416230,oyl260416230-20-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416231,oyl260416231-22-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416232,oyl260416232-22-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416233,oyl260416233-22-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416234,oyl260416234-22-bmw,BMW X5/X7,lat,BMW,X5/X7,,,BMW X5/X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416235,oyl260416235-18-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416236,oyl260416236-18-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416237,oyl260416237-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416238,oyl260416238-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416239,oyl260416239-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416240,oyl260416240-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416241,oyl260416241-19-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416242,oyl260416242-20-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416243,oyl260416243-20-bmw,BMW 5系7系,mixto,BMW,57,,,BMW 57,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416244,oyl260416244-18-mercedes-benz,BENZ C级,mixto,Mercedes-Benz,C,,,Mercedes-Benz C,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416245,oyl260416245-18-mercedes-benz,BENZ C级,mixto,Mercedes-Benz,C,,,Mercedes-Benz C,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416246,oyl260416246-18-mercedes-benz,BENZ C级,mixto,Mercedes-Benz,C,,,Mercedes-Benz C,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416247,oyl260416247-22-bmw,BMW X7,lat,BMW,X7,,,BMW X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416248,oyl260416248-22-bmw,BMW X7,lat,BMW,X7,,,BMW X7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416249,oyl260416249-19-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416250,oyl260416250-19-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416251,oyl260416251-20-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416252,oyl260416252-20-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416253,oyl260416253-17-bmw,BMW M4 鸟巢,mixto,BMW,M4,,,BMW M4,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416254,oyl260416254-17-bmw,BMW M4 鸟巢,mixto,BMW,M4,,,BMW M4,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416255,oyl260416255-18-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416256,oyl260416256-18-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416257,oyl260416257-18-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416258,oyl260416258-19-audi,AUDIQ8,lat,Audi,Q8,,,Audi Q8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416259,oyl260416259-22-audi,AUDIQ8,lat,Audi,Q8,,,Audi Q8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416260,oyl260416260-19-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416261,oyl260416261-19-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416262,oyl260416262-19-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416263,oyl260416263-20-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416264,oyl260416264-20-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416265,oyl260416265-20-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416266,oyl260416266-21-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416267,oyl260416267-21-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416268,oyl260416268-21-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416269,oyl260416269-21-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416270,oyl260416270-22-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416271,oyl260416271-22-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416272,oyl260416272-22-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416273,oyl260416273-22-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416274,oyl260416274-23-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416275,oyl260416275-23-audi,AUDIRS6/RS7-2024,lat,Audi,RS6/RS7,,2024,Audi RS6/RS7 2024,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416276,oyl260416276-18-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416277,oyl260416277-18-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416278,oyl260416278-20-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416279,oyl260416279-20-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416280,oyl260416280-21-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416281,oyl260416281-21-audi,AUDIA7,lat,Audi,A7,,,Audi A7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416282,oyl260416282-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416283,oyl260416283-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416284,oyl260416284-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416285,oyl260416285-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416286,oyl260416286-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416287,oyl260416287-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416288,oyl260416288-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416289,oyl260416289-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416290,oyl260416290-20-bmw,BMW M/改,mixto,BMW,M,,,BMW M,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416291,oyl260416291-20-bmw,BMW M/改,mixto,BMW,M,,,BMW M,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416292,oyl260416292-20-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416293,oyl260416293-20-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416294,oyl260416294-18-mercedes-benz,BENZ 迈巴赫,mixto,Mercedes-Benz,,,,Mercedes-Benz,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416295,oyl260416295-19-mercedes-benz,BENZ 迈巴赫,mixto,Mercedes-Benz,,,,Mercedes-Benz,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416296,oyl260416296-19-mercedes-benz,BENZ 迈巴赫,mixto,Mercedes-Benz,,,,Mercedes-Benz,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416297,oyl260416297-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416298,oyl260416298-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416299,oyl260416299-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416300,oyl260416300-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416301,oyl260416301-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416302,oyl260416302-18-bmw,BMW,lat,BMW,,,,BMW,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416303,oyl260416303-19-bmw,BMW,lat,BMW,,,,BMW,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416304,oyl260416304-19-bmw,BMW,lat,BMW,,,,BMW,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416305,oyl260416305-19-bmw,BMW,lat,BMW,,,,BMW,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416306,oyl260416306-18-mercedes-benz,BENZ AMG CLS欧版/改装,mixto,Mercedes-Benz,AMG CLS,,,Mercedes-Benz AMG CLS,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416307,oyl260416307-19-mercedes-benz,BENZ AMG CLS欧版/改装,mixto,Mercedes-Benz,AMG CLS,,,Mercedes-Benz AMG CLS,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416308,oyl260416308-19-mercedes-benz,BENZ AMG CLS欧版/改装,mixto,Mercedes-Benz,AMG CLS,,,Mercedes-Benz AMG CLS,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
