familia,referencias_totales,referencias_publicables,skus_publicables,skus_excluidos,medidas,diametros,anclajes,acabados,img_ancho_min,img_alto_min,img_juicio,p_foto,p_tecnica,p_variedad,p_anclajes,p_coherencia,p_disponibilidad,puntuacion,problemas,notas_proveedor
wheel-design-067,3,2,OYL260416244|OYL260416245,OYL260416246,18x8.0,18,5x112|5x114.3,MB,198,144,Solo apta en tarjeta de colección,8,20,4,10,10,0,52,"Excluidas de la publicación: OYL260416246 (duplicado) // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ C级
wheel-design-029,6,6,OYL260416059|OYL260416060|OYL260416061|OYL260416062|OYL260416063|OYL260416064,ninguno,17x7.5|18x8.0|19x8.5|20x9.0,17|18|19|20,5x112,MB|MG,176,167,No apta a ningún tamaño real de la tienda,0,20,16,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA4/A6|AUDIA6/A8|AUDIA6A8
wheel-design-036,4,4,OYL260416089|OYL260416090|OYL260416091|OYL260416092,ninguno,19x8.5|20x9.0,19|20,5x112,MB|MG,190,167,Solo apta en tarjeta de colección,8,20,8,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA6/A8
wheel-design-046,4,4,OYL260416151|OYL260416152|OYL260416153|OYL260416154,ninguno,19x8.5|19x9.5|20x8.5|20x9.5,19|20,5x112,MB,186,176,No apta a ningún tamaño real de la tienda,0,20,16,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ S级老 迈巴赫 威霆
wheel-design-051,4,4,OYL260416174|OYL260416175|OYL260416176|OYL260416177,ninguno,18x8.0|19x8.0,18|19,5x112,B|S,190,165,Solo apta en tarjeta de colección,8,20,8,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",(VWMagotan-2024/2025/改）|VW全系
wheel-design-055,4,4,OYL260416188|OYL260416189|OYL260416190|OYL260416191,ninguno,17x7.5|18x8.0|19x8.5|21x9.0,17|18|19|21,5x112,MB,176,149,No apta a ningún tamaño real de la tienda,0,20,16,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA4/A6|AUDIA4/A6/改装车型|AUDIA8|AUDIRS6
wheel-design-082,4,4,OYL260416325|OYL260416326|OYL260416327|OYL260416328,ninguno,20x8.0|20x9.5,20,5x112,B|MG,202,194,Solo apta en tarjeta de colección,8,20,8,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X3-2023/改
wheel-design-106,3,3,OYL260416380|OYL260416381|OYL260416382,ninguno,18x8.0|19x8.5,18|19,5x112,MB|SMH,206,192,Solo apta en tarjeta de colección,8,20,8,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW途观/高尔夫8 R-line/改
wheel-design-026,2,2,OYL260416055|OYL260416056,ninguno,18x8.0|19x8.5,18|19,5x112,MB,199,156,Solo apta en tarjeta de colección,8,20,8,5,10,0,51,"El proveedor escribe el mismo buje de dos formas (5x112: 66.45, 66.5 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDI|AUDIA3/4/5/6/7/8
wheel-design-063,2,2,OYL260416222|OYL260416223,ninguno,20x8.5|20x9.5,20,5x112,MB,231,186,Solo apta en tarjeta de colección,8,20,8,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ S级老 迈巴赫
wheel-design-085,2,2,OYL260416334|OYL260416335,ninguno,19x8.5|20x8.5,19|20,5x112,MATT GUNMETAL MACHINE,190,178,Solo apta en tarjeta de colección,8,20,8,5,10,0,51,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIRS3/改
wheel-design-025,3,3,OYL260416052|OYL260416053|OYL260416054,ninguno,22x10.5|22x9.5,22,5x112|5x120,B|MB,186,160,No apta a ningún tamaño real de la tienda,0,20,8,10,10,0,48,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X5X6
wheel-design-079,5,5,OYL260416309|OYL260416310|OYL260416311|OYL260416312|OYL260416313,ninguno,19x8.5|19x9.5|20x8.5,19|20,5x120,B|MATTE BLACK,178,172,No apta a ningún tamaño real de la tienda,0,20,12,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 1/2/3系
wheel-design-095,3,3,OYL260416351|OYL260416352|OYL260416353,ninguno,19x8.5|20x8.5|20x9.5,19|20,5x112,MB,172,180,No apta a ningún tamaño real de la tienda,0,20,12,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E级海外版/改
wheel-design-027,1,1,OYL260416057,ninguno,19x8.5,19,5x112,MB,190,167,Solo apta en tarjeta de colección,8,20,4,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA3/4/5/6/7/8
wheel-design-080,1,1,OYL260416314,ninguno,17x8.0,17,5x120,MG,207,192,Solo apta en tarjeta de colección,8,20,4,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 7系
wheel-design-086,1,1,OYL260416336,ninguno,20x8.5,20,5x112,MB,207,198,Solo apta en tarjeta de colección,8,20,4,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDI/改
wheel-design-090,1,1,OYL260416346,ninguno,18x7.5,18,5x112,MB,198,189,Solo apta en tarjeta de colección,8,20,4,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ CLA200-18
wheel-design-091,1,1,OYL260416347,ninguno,19x9.5,19,5x120,MS,198,186,Solo apta en tarjeta de colección,8,20,4,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 740/改
wheel-design-094,1,1,OYL260416350,ninguno,19x8.0,19,5x112,MB,204,191,Solo apta en tarjeta de colección,8,20,4,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIQ5
wheel-design-109,1,1,OYL260416390,ninguno,17x7.5,17,5x112,MB,198,183,Solo apta en tarjeta de colección,8,20,4,5,10,0,47,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW高尔夫R海外版-2025/改
wheel-design-060,2,2,OYL260416209|OYL260416210,ninguno,19x8.5,19,5x112|5x114.3,MBI,183,188,No apta a ningún tamaño real de la tienda,0,20,4,10,10,0,44,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA7|改装
wheel-design-068,2,2,OYL260416247|OYL260416248,ninguno,22x10.5,22,5x112|5x120,MB,188,199,No apta a ningún tamaño real de la tienda,0,20,4,10,10,0,44,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X7
wheel-design-104,5,4,OYL260416373|OYL260416374|OYL260416375|OYL260416378,OYL260416376,20x9.0|21x9.0,20|21,5x112,MB|MS|SGMF,176,39,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"El proveedor escribe el mismo buje de dos formas (5x112: 66.45, 66.6 mm); confirmar el valor exacto antes del montaje // Excluidas de la publicación: OYL260416376 (duplicado) // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIRS5 Avant-2025/改|Consultar
wheel-design-024,3,3,OYL260416049|OYL260416050|OYL260416051,ninguno,20x10.5|22x9.5,20|22,5x112,B|MB,158,158,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X5/X6|BMW X5X6
wheel-design-034,3,3,OYL260416085|OYL260416086|OYL260416087,ninguno,17x8.0|19x8.0,17|19,5x120,B|MB,165,160,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"El proveedor escribe el mismo buje de dos formas (5x120: 72.56, 72.6 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3/5系|BMW 5系
wheel-design-101,3,3,OYL260416364|OYL260416365|OYL260416366,ninguno,20x9.0|22x10.0,20|22,5x112,MATTE BLACK|MBI+C|W,179,172,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIRS6 Avant GT-2025
sin-diseno,2,2,OYL260416372|OYL260416377,ninguno,19x8.5|21x9.0,19|21,5x112,MB,0,0,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIRS5 Avant-2025/改
wheel-design-014,2,2,OYL260416014|OYL260416015,ninguno,18x8.0|18x8.5,18,5x120,B|S,133,126,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3系前轮 2019|BMW 3系后轮 2019
wheel-design-056,2,2,OYL260416192|OYL260416193,ninguno,20x9.0|22x10.0,20|22,5x112,MB,188,190,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"El proveedor escribe el mismo buje de dos formas (5x112: 66.45, 66.5 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIQ7
wheel-design-071,2,2,OYL260416258|OYL260416259,ninguno,19x8.5|22x10.0,19|22,5x112,MB,176,168,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIQ8
wheel-design-084,2,2,OYL260416332|OYL260416333,ninguno,21x10.0|21x9.5,21,5x112,MBI,188,177,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ EQS AMG-2024/改
wheel-design-087,2,2,OYL260416337|OYL260416338,ninguno,20x8.5|20x9.5,20,5x112,MB,175,167,No apta a ningún tamaño real de la tienda,0,20,8,5,10,0,43,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 540i/改
wheel-design-018,2,2,OYL260416024|OYL260416025,ninguno,20x11.0,20,5x120,B|MG,133,121,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW *5后轮
wheel-design-033,2,2,OYL260416083|OYL260416084,ninguno,18x8.0,18,5x112,MG|MG-D,170,156,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系
wheel-design-001,1,1,OYL260416001,ninguno,18x8.5,18,5x112,S,151,133,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ S350
wheel-design-002,1,1,OYL260416002,ninguno,18x8.0,18,5x112,MB,167,248,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VWPassat
wheel-design-003,1,1,OYL260416003,ninguno,17x8.0,17,5x112,S,158,147,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA6L-2012
wheel-design-004,1,1,OYL260416004,ninguno,18x8.0,18,5x112,S,140,131,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA6L
wheel-design-005,1,1,OYL260416005,ninguno,16x7.0,16,5x112,S,147,131,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VWPassat领驭 2005
wheel-design-006,1,1,OYL260416006,ninguno,17x7.0,17,5x112,MG,138,138,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ C200 2015
wheel-design-007,1,1,OYL260416007,ninguno,18x8.0,18,5x112,MB,138,131,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VWPassat 2016
wheel-design-008,1,1,OYL260416008,ninguno,18x8.0,18,5x112,MB,133,126,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VWMagotan2017
wheel-design-009,1,1,OYL260416009,ninguno,19x8.5,19,5x112,MB,131,128,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIRS7 2016
wheel-design-010,1,1,OYL260416010,ninguno,18x8.0,18,5x112,MB,128,123,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VWPassat 2019
wheel-design-012,1,1,OYL260416012,ninguno,18x7.0,18,5x112,MB,167,154,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW途岳
wheel-design-013,1,1,OYL260416013,ninguno,18x8.0,18,5x112,MG,120,116,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E级
wheel-design-016,1,1,OYL260416022,ninguno,18x8.0,18,5x112,MG,141,133,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系
wheel-design-017,1,1,OYL260416023,ninguno,18x8.0,18,5x120,S,156,151,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 730Li
wheel-design-021,1,1,OYL260416040,ninguno,18x8.0,18,5x120,MG,156,151,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系
wheel-design-022,1,1,OYL260416041,ninguno,17x8.0,17,5x120,S,160,147,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系
wheel-design-028,1,1,OYL260416058,ninguno,18x8.0,18,5x120,MS,144,142,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系
wheel-design-031,1,1,OYL260416081,ninguno,18x8.0,18,5x112,S,167,156,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系
wheel-design-032,1,1,OYL260416082,ninguno,18x8.0,18,5x120,S,163,156,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系
wheel-design-035,1,1,OYL260416088,ninguno,18x8.0,18,5x112,MG,154,156,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E级
wheel-design-037,1,1,OYL260416093,ninguno,20x9.0,20,5x112,P,183,163,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA6/A8
wheel-design-092,1,1,OYL260416348,ninguno,19x9.5,19,5x112,MG-D,189,176,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 730Li M-2021
wheel-design-093,1,1,OYL260416349,ninguno,17x7.0,17,5x112,MB,168,155,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW速腾-2023
wheel-design-096,1,1,OYL260416354,ninguno,19x8.0,19,5x112,G,168,160,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VWCC黄金海岸版
wheel-design-097,1,1,OYL260416355,ninguno,19x7.0,19,5x112,MB,151,146,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW途观L/途观X-2021-2025
wheel-design-098,1,1,OYL260416356,ninguno,21x9.0,21,5x112,MB,168,161,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW揽境-2021-2024
wheel-design-100,1,1,OYL260416363,ninguno,19x8.5,19,5x112,MB,170,83,No apta a ningún tamaño real de la tienda,0,20,4,5,10,0,39,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA4L-2024/2025
